category_id,budget_id,name,brand,price,image_path,description
2,1,Điện thoại Nokia 220 4G,Nokia,990,phone/phone_01.jpg,"Nokia 220 4G là điện thoại phổ thông bền bỉ, hiện đại với kết nối 4G tốc độ cao và cuộc gọi VoLTE sắc nét. Sản phẩm lý tưởng làm máy phụ nghe gọi cho người bận rộn, hoặc quà tặng cho người lớn tuổi cần sự đơn giản, phím bấm lớn và loa ngoài rõ ràng.
Máy sở hữu thiết kế ""nồi đồng cối đá"" đặc trưng của Nokia, chống va đập tốt và thời lượng pin chờ nhiều ngày. Tích hợp sẵn trình duyệt web, Facebook, đài FM không cần tai nghe và trò chơi Snake huyền thoại, mang lại trải nghiệm liên lạc tin cậy và giải trí cơ bản mọi lúc mọi nơi."
2,1,Điện thoại Masstel IZI 10,,400,phone/phone_02.jpg,"Masstel IZI 10 là điện thoại phổ thông nhỏ gọn, siêu bền với phím bấm lớn và loa thoại cực to. Sản phẩm là lựa chọn hàng đầu làm máy phụ nghe gọi dự phòng hoặc quà tặng cho người già cần sự đơn giản, dễ sử dụng.
Máy hỗ trợ 2 SIM 2 sóng ổn định, tích hợp đèn pin siêu sáng và đài FM không cần tai nghe tiện lợi. Với viên pin bền bỉ cho thời gian chờ nhiều ngày và thiết kế chắc chắn, chống va đập tốt, IZI 10 mang lại trải nghiệm liên lạc thông suốt, tin cậy với chi phí tiết kiệm nhất."
2,1,Điện thoại Honor X7d 8GB/128GB,Honor,5790,phone/phone_03.jpg,"Honor X7d 8GB/128GB là điện thoại phổ thông siêu bền từ Honor. Với thiết kế chống rơi vỡ đạt chuẩn 5 sao, đây là lựa chọn kinh tế cho sinh viên và người làm việc ngoài trời cần máy ""nồi đồng cối đá"". Sản phẩm đáp ứng mượt mà các nhu cầu lướt web, xem video và dùng mạng xã hội nhờ RAM 8GB ổn định.
Điểm nhấn là viên pin 5200mAh dùng tới 2 ngày và màn hình bảo vệ mắt. Máy tích hợp camera AI sắc nét và bộ nhớ 128GB đủ dùng, mang lại trải nghiệm bền bỉ, tin cậy cho mọi tác vụ cơ bản hàng ngày."
2,2,Điện thoại Realme C85 5G 8GB/128GB,Realme,8090,phone/phone_04.jpg,"Realme C85 5G 8GB/128GB là điện thoại 5G giá rẻ có thiết kế thời thượng, mỏng nhẹ. Sản phẩm hướng đến sinh viên học tập online và bác tài công nghệ cần kết nối mạng tốc độ cao để nhận đơn nhanh chóng, ổn định.
Với RAM 8GB và bộ nhớ 128GB, máy xử lý tốt các tác vụ giải trí, lướt web và chơi game nhẹ. Điểm nhấn là viên pin 5000mAh bền bỉ, màn hình 90Hz mượt mà và camera AI 50MP, mang lại trải nghiệm công nghệ hiện đại với chi phí tối ưu."
2,2,Điện thoại Xiaomi Redmi Note 15 Pro 5G,Xiaomi,11490,phone/phone_05.jpg,"Xiaomi Redmi Note 15 Pro 5G 12GB/256GB là ""quái vật hiệu năng"" cận cao cấp với khung viền Titan siêu bền. Sản phẩm lý tưởng cho game thủ leo rank mượt mà và TikToker sáng tạo nội dung nhờ camera 200MP chống rung OIS cực đỉnh."
2,2,Điện thoại iPhone 13 128GB,Apple,14000,phone/phone_06.jpg,"iPhone 13 128GB là chiếc điện thoại cao cấp có sự cân bằng hoàn hảo giữa hiệu năng và giá trị. Với chip A15 Bionic mạnh mẽ, máy đáp ứng mượt mà mọi nhu cầu từ chiến game đồ họa cao đến xử lý video 4K chuyên nghiệp. Sản phẩm cực kỳ phù hợp cho người dùng yêu thích thiết kế nhỏ gọn nhưng vẫn cần sự bền bỉ và ổn định lâu dài.
Máy sở hữu màn hình Super Retina XDR sắc nét, camera kép 12MP chụp đêm ấn tượng và thời lượng pin vượt trội so với thế hệ trước. Đây là lựa chọn tối ưu cho sinh viên, nhân viên văn phòng muốn trải nghiệm hệ sinh thái iOS ổn định với mức chi phí hợp lý nhất hiện nay."
2,2,Điện thoại OPPO Reno15 Pro 5G 12GB/256GB,Oppo,17490,phone/phone_07.jpg,"OPPO Reno15 Pro 5G 12GB/256GB là ""chuyên gia chân dung"" với thiết kế mặt lưng đổi màu Glow thời thượng và siêu mỏng. Sản phẩm hướng tới giới trẻ yêu thích thời trang, các vlogger và người dùng cần một chiếc điện thoại chụp ảnh đẹp lung linh mà không cần chỉnh sửa phức tạp.
Máy sở hữu RAM 12GB đa nhiệm mượt mà, màn hình cong tràn cạnh 120Hz và sạc siêu nhanh SuperVOOC lấy lại năng lượng tức thì. Điểm nhấn là hệ thống camera tích hợp AI xử lý da tự nhiên, quay video làm đẹp thời gian thực và kết nối 5G siêu tốc, mang lại trải nghiệm giải trí và sáng tạo nội dung hoàn hảo mọi lúc."
2,3,Điện thoại Xiaomi 17 Ultra 5G 16GB/512GB,Xiaomi,32190,phone/phone_08.jpg,"Xiaomi 17 Ultra 5G 16GB/512GB là đỉnh cao nhiếp ảnh di động với cụm camera ống kính Leica thế hệ mới và cảm biến 1 inch cực lớn. Sản phẩm dành riêng cho nhiếp ảnh gia chuyên nghiệp, vlogger và những người đam mê công nghệ muốn sở hữu cấu hình mạnh mẽ nhất thị trường hiện nay.
Máy sở hữu RAM 16GB khổng lồ, chip Snapdragon 8 Gen 5 xử lý AI siêu tốc và màn hình LTPO 2K sắc nét. Với khả năng quay video 8K, sạc nhanh 120W và kháng nước IP68, đây là thiết bị hoàn hảo cho mọi nhu cầu từ làm việc cường độ cao đến giải trí đỉnh cao không giới hạn."
2,3,Samsung Galaxy S26 Ultra 5G 12GB/256GB,Samsung,32990,phone/phone_09.jpg,"Samsung Galaxy S26 Ultra 5G 12GB/256GB là biểu tượng công nghệ với khung viền Titan bền bỉ và bút S Pen quyền năng tích hợp sẵn. Sản phẩm dành cho doanh nhân, người làm việc sáng tạo và những ai cần một thiết bị thay thế máy tính nhỏ gọn cho các tác vụ đa nhiệm đỉnh cao.
Máy sở hữu hệ thống Galaxy AI thế hệ mới hỗ trợ dịch thuật trực tiếp, chỉnh sửa ảnh chuyên nghiệp và camera 200MP Zoom quang học siêu nét. Với màn hình Dynamic AMOLED 2X 120Hz chống chói và thời lượng pin vượt trội, đây là lựa chọn số một để xử lý công việc và giải trí không giới hạn ở bất cứ đâu."
2,3,Điện thoại iPhone 17 Pro Max 256GB,Apple,37890,phone/phone_10.jpg,"iPhone 17 Pro Max là đỉnh cao công nghệ năm 2026 với khung viền Titan siêu nhẹ và chip A19 Pro mạnh mẽ nhất. Sản phẩm dành riêng cho người dùng chuyên nghiệp, Game thủ AAA và các nhà sáng tạo nội dung cần hiệu năng xử lý AI vượt trội. Đây là lựa chọn số một cho trải nghiệm hình ảnh đẳng cấp và đẳng cấp sang trọng.
Máy sở hữu màn hình ProMotion 120Hz siêu mượt, hệ thống camera Zoom quang học 10x và khả năng quay phim điện ảnh chuyên nghiệp. Với thời lượng pin kỷ lục và kết nối vệ tinh tiên tiến, đây là thiết bị hoàn hảo cho mọi nhu cầu làm việc, giải trí đỉnh cao và khẳng định vị thế người sở hữu."
1,1,Camera IP 360 Độ IMOU TA32CP-L,IMOU,500,camera/camera_01.jpg,"Camera IP 360 Độ IMOU TA32CP-L là giải pháp an ninh thông minh 2K sắc nét cho gia đình và cửa hàng. Với khả năng xoay 360 độ linh hoạt và đàm thoại 2 chiều, đây là lựa chọn hàng đầu cho cha mẹ cần giám sát con nhỏ, người già hoặc chủ shop quản lý từ xa qua điện thoại.
Thiết bị tích hợp AI nhận diện người lạ, tự động bám theo chuyển động và gửi cảnh báo tức thì về ứng dụng. Chế độ hồng ngoại ban đêm rõ nét giúp bảo vệ ngôi nhà 24/7. Với thiết kế nhỏ gọn, dễ lắp đặt và hỗ trợ lưu trữ thẻ nhớ 256GB, máy mang lại sự an tâm tuyệt đối và tiện lợi tối đa."
1,1,Camera IP 360 Độ EZVIZ TY1,EZVIZ,470,camera/camera_02.jpg,"Camera IP 360 Độ EZVIZ TY1 là giải pháp an ninh gia đình thông minh với độ phân giải Full HD sắc nét và tầm nhìn ban đêm hồng ngoại 10m. Với khả năng quay quét 360 độ không điểm mù, đây là lựa chọn lý tưởng để giám sát phòng khách, cửa hàng hoặc theo dõi thú cưng từ xa qua ứng dụng điện thoại.
Thiết bị tích hợp tính năng theo dõi chuyển động thông minh và chế độ màn trập riêng tư giúp bảo vệ không gian cá nhân khi cần thiết. Với đàm thoại hai chiều to rõ và hỗ trợ thẻ nhớ 256GB, TY1 mang lại sự an tâm tuyệt đối, kết nối gia đình mọi lúc mọi nơi với chi phí cực kỳ hợp lý."
1,1,Camera IP 360 Độ Dahua DH-H3AE,Dahua,390,camera/camera_03.jpg,"Camera IP 360 Độ Dahua DH-H3AE là giải pháp giám sát an ninh 3MP sắc nét, chuyên dùng cho gia đình và văn phòng hiện đại. Với khả năng quay quét toàn cảnh và đàm thoại hai chiều, đây là lựa chọn tối ưu cho chủ doanh nghiệp quản lý nhân viên hoặc cha mẹ theo dõi con cái từ xa với đường truyền ổn định vượt trội.
Thiết bị tích hợp AI nhận diện dáng người và phát hiện âm thanh bất thường (tiếng khóc, tiếng động lạ) để gửi cảnh báo tức thì. Chế độ hồng ngoại thông minh giúp quan sát ban đêm rõ nét trong phạm vi 10m. Với thiết kế cứng cáp, hỗ trợ thẻ nhớ 256GB và cài đặt nhanh chóng, máy mang lại sự bảo vệ tin cậy và chuyên nghiệp 24/7."
1,2,Camera IP Ngoài Trời 360 Độ TP-Link Tapo C501,TP-Link,1150,camera/camera_04.jpg,"Camera IP Ngoài Trời 360 Độ TP-Link Tapo C500 là giải pháp an ninh ngoài trời bền bỉ với chuẩn kháng nước IP65. Với khả năng xoay quét 360 độ và độ phân giải Full HD sắc nét, đây là lựa chọn hàng đầu để giám sát sân vườn, bãi đỗ xe hoặc cổng nhà, giúp bao quát toàn cảnh không gian rộng lớn.
Thiết bị tích hợp AI nhận diện người thông minh, tự động bám theo chuyển động và gửi thông báo tức thì. Chế độ ban đêm rõ nét, đàm thoại hai chiều và báo động âm thanh/ánh sáng giúp xua đuổi kẻ đột nhập hiệu quả. Với thiết kế linh hoạt dễ lắp đặt trên tường hoặc trần, Tapo C500 mang lại sự an tâm tuyệt đối trước mọi điều kiện thời tiết khắc nghiệt."
1,2,Camera IP Ngoài Trời 360 Độ TP-Link Tapo C510,TP-Link,1350,camera/camera_05.jpg,"Camera Ngoài Trời TP-Link Tapo C510W là giải pháp an ninh 2K siêu nét với khả năng xoay quét 360 độ toàn diện. Với chuẩn kháng nước IP65 và chế độ xem đêm có màu sắc nét, đây là lựa chọn hàng đầu để bảo vệ sân vườn, bãi xe hoặc cổng nhà, giúp nhận diện rõ khuôn mặt và biển số xe ngay cả trong bóng tối.
Thiết bị tích hợp AI nhận diện người thông minh, tự động bám theo chuyển động và phát còi báo động ánh sáng xua đuổi kẻ đột nhập. Với khả năng đàm thoại hai chiều to rõ và thiết kế linh hoạt, Tapo C510W mang lại sự an tâm tuyệt đối, giúp bạn làm chủ an ninh ngôi nhà mọi lúc mọi nơi từ xa qua điện thoại."
1,2,Camera IP 360 Độ Ezviz C6C,EZVIZ,1290,camera/camera_06.jpg,"Camera IP 360 Độ EZVIZ C6C là giải pháp giám sát trong nhà Full HD sắc nét với khả năng quay quét toàn cảnh không điểm mù. Sản phẩm cực kỳ phù hợp cho gia đình có trẻ nhỏ, người già hoặc thú cưng, giúp bạn quan sát mọi ngóc ngách phòng khách, phòng ngủ từ xa qua điện thoại một cách dễ dàng.
Thiết bị tích hợp AI tự động theo dõi chuyển động và chế độ màn trập riêng tư giúp bảo vệ không gian cá nhân khi cần. Với đèn hồng ngoại ban đêm 10m, đàm thoại hai chiều to rõ và khả năng lắp đặt linh hoạt, C6C mang lại sự an tâm tuyệt đối và kết nối gia đình trọn vẹn với chi phí tối ưu."
1,2,Camera IP 360 Độ TIANDY TC-H322N,Tiandy,1000,camera/camera_07.jpg,"Camera IP 360 Độ Tiandy TC-H322N là giải pháp giám sát trong nhà 2MP sắc nét với khả năng quay quét toàn cảnh không điểm mù. Sản phẩm cực kỳ phù hợp cho gia đình, cửa hàng nhỏ hoặc văn phòng cần một thiết bị an ninh ổn định, dễ lắp đặt và quản lý từ xa qua điện thoại với chi phí tối ưu.
Thiết bị tích hợp chuẩn nén S+265 giúp tiết kiệm đến 75% không gian lưu trữ và băng thông truyền tải. Với đèn hồng ngoại ban đêm 10m, đàm thoại hai chiều to rõ và tính năng phát hiện chuyển động thông minh, TC-H322N mang lại sự an tâm tuyệt đối và kết nối thông suốt 24/7."
1,3,Camera IP Ngoài trời 360 Độ Dahua DH-P3AS-PV,Dahua,1650,camera/camera_08.jpg,"Camera Ngoài Trời Dahua DH-P3AS-PV là giải pháp an ninh chuyên nghiệp với độ phân giải 3MP sắc nét và khả năng quay quét 360 độ toàn diện. Với chuẩn kháng nước IP66 và chế độ ban đêm có màu, đây là lựa chọn hàng đầu để bảo vệ sân vườn, cửa tiệm hoặc bãi xe, giúp nhận diện rõ mọi chi tiết dưới mọi điều kiện thời tiết.
Thiết bị tích hợp AI nhận diện người và xe thông minh, tự động phát còi hú và đèn chớp để báo động chủ động khi có xâm nhập trái phép. Với đàm thoại hai chiều to rõ và khả năng lưu trữ linh hoạt, DH-P3AS-PV mang lại sự an tâm tuyệt đối và giải pháp phòng thủ từ xa hiệu quả cho mọi không gian ngoại thất."
1,3,Camera IP Ngoài Trời 360 Độ Ezviz H8,EZVIZ,1500,camera/camera_09.jpg,"Camera IP Ngoài Trời EZVIZ H8 là giải pháp an ninh 360 độ mạnh mẽ với độ phân giải 2K sắc nét và khả năng chống chịu thời tiết khắc nghiệt. Với thiết kế xoay bốn chiều không điểm mù, đây là lựa chọn hoàn hảo để giám sát sân vườn, cổng nhà hoặc trang trại, giúp bao quát toàn bộ không gian rộng lớn chỉ với một thiết bị duy nhất.
Máy tích hợp AI nhận diện dáng người, tự động theo dõi chuyển động và quay trở lại điểm quan sát cố định chỉ bằng một cú chạm. Chế độ ghi hình màu ban đêm, còi hú báo động và đàm thoại hai chiều giúp bảo vệ ngôi nhà chủ động và hiệu quả 24/7 qua ứng dụng di động."
1,3,Camera IP Ngoài Trời 360 Độ Ezviz H8C Pro,EZVIZ,1690,camera/camera_10.jpg,"Camera Ngoài Trời EZVIZ H8C Pro là giải pháp an ninh 2K+ siêu nét với khả năng quay quét 360 độ không điểm mù. Với chuẩn kháng nước IP65 và ghi hình màu ban đêm, đây là lựa chọn hàng đầu để bảo vệ sân vườn, bãi đỗ xe hoặc cổng nhà, giúp nhận diện rõ mọi chi tiết dưới mọi điều kiện thời tiết khắc nghiệt.
Thiết bị tích hợp AI nhận diện dáng người và xe thông minh, tự động bám theo chuyển động và phát còi hú kèm đèn chớp để báo động chủ động. Với đàm thoại hai chiều to rõ và thiết kế linh hoạt, H8C Pro mang lại sự an tâm tuyệt đối và giải pháp phòng thủ từ xa hiệu quả 24/7 qua điện thoại."
3,1,Vòng đeo tay thông minh Huawei Band 11 viền nhôm dây Fluor,Huawei,990,smartwatch/smartwatch_01.jpg,"Vòng đeo tay thông minh Huawei Band 11 là sự kết hợp hoàn hảo giữa thiết kế viền nhôm sang trọng và dây đeo Fluor bền bỉ, êm ái. Sản phẩm hướng tới những người năng động, nhân viên văn phòng và người yêu thể thao cần một thiết bị theo dõi sức khỏe chuyên nghiệp, mỏng nhẹ nhưng vẫn đầy đủ tính năng cao cấp.
Máy sở hữu màn hình AMOLED rực rỡ, tích hợp AI theo dõi nhịp tim, giấc ngủ và nồng độ oxy trong máu (SpO2) chính xác 24/7. Với hơn 100 chế độ tập luyện, khả năng kháng nước 5ATM và thời lượng pin ấn tượng lên đến 14 ngày, Huawei Band 11 mang lại sự tiện lợi tối đa, giúp bạn làm chủ sức khỏe và phong cách sống hiện đại."
