stt,category_id ,budget_id,name ,brand ,price ,image_path,description 
1,phones,1,Điện thoại Nokia 220 4G,Nokia,990,/backend/data/images/phone/phone_01.jpg,"Nokia 220 4G là điện thoại phổ thông bền bỉ, hiện đại với kết nối 4G tốc độ cao và cuộc gọi VoLTE sắc nét. Sản phẩm lý tưởng làm máy phụ nghe gọi cho người bận rộn, hoặc quà tặng cho người lớn tuổi cần sự đơn giản, phím bấm lớn và loa ngoài rõ ràng.
Máy sở hữu thiết kế ""nồi đồng cối đá"" đặc trưng của Nokia, chống va đập tốt và thời lượng pin chờ nhiều ngày. Tích hợp sẵn trình duyệt web, Facebook, đài FM không cần tai nghe và trò chơi Snake huyền thoại, mang lại trải nghiệm liên lạc tin cậy và giải trí cơ bản mọi lúc mọi nơi."
2,,1,Điện thoại Masstel IZI 10,,400,/backend/data/images/phone/phone_02.jpg,"Masstel IZI 10 là điện thoại phổ thông nhỏ gọn, siêu bền với phím bấm lớn và loa thoại cực to. Sản phẩm là lựa chọn hàng đầu làm máy phụ nghe gọi dự phòng hoặc quà tặng cho người già cần sự đơn giản, dễ sử dụng.
Máy hỗ trợ 2 SIM 2 sóng ổn định, tích hợp đèn pin siêu sáng và đài FM không cần tai nghe tiện lợi. Với viên pin bền bỉ cho thời gian chờ nhiều ngày và thiết kế chắc chắn, chống va đập tốt, IZI 10 mang lại trải nghiệm liên lạc thông suốt, tin cậy với chi phí tiết kiệm nhất."
3,,1,Điện thoại Honor X7d 8GB/128GB,Honor,5790,/backend/data/images/phone/phone_03.jpg,"Honor X7d 8GB/128GB là điện thoại phổ thông siêu bền từ Honor. Với thiết kế chống rơi vỡ đạt chuẩn 5 sao, đây là lựa chọn kinh tế cho sinh viên và người làm việc ngoài trời cần máy ""nồi đồng cối đá"". Sản phẩm đáp ứng mượt mà các nhu cầu lướt web, xem video và dùng mạng xã hội nhờ RAM 8GB ổn định.
Điểm nhấn là viên pin 5200mAh dùng tới 2 ngày và màn hình bảo vệ mắt. Máy tích hợp camera AI sắc nét và bộ nhớ 128GB đủ dùng, mang lại trải nghiệm bền bỉ, tin cậy cho mọi tác vụ cơ bản hàng ngày."
4,,2,Điện thoại Realme C85 5G 8GB/128GB,Realme,8090,/backend/data/images/phone/phone_04.jpg,"Realme C85 5G 8GB/128GB là điện thoại 5G giá rẻ có thiết kế thời thượng, mỏng nhẹ. Sản phẩm hướng đến sinh viên học tập online và bác tài công nghệ cần kết nối mạng tốc độ cao để nhận đơn nhanh chóng, ổn định.
Với RAM 8GB và bộ nhớ 128GB, máy xử lý tốt các tác vụ giải trí, lướt web và chơi game nhẹ. Điểm nhấn là viên pin 5000mAh bền bỉ, màn hình 90Hz mượt mà và camera AI 50MP, mang lại trải nghiệm công nghệ hiện đại với chi phí tối ưu."
5,,2,Điện thoại Xiaomi Redmi Note 15 Pro 5G,Xiaomi,11490,/backend/data/images/phone/phone_05.jpg,"Xiaomi Redmi Note 15 Pro 5G 12GB/256GB là ""quái vật hiệu năng"" cận cao cấp với khung viền Titan siêu bền. Sản phẩm lý tưởng cho game thủ leo rank mượt mà và TikToker sáng tạo nội dung nhờ camera 200MP chống rung OIS cực đỉnh."
6,,2,Điện thoại iPhone 13 128GB,Apple,14000,/backend/data/images/phone/phone_06.jpg,"iPhone 13 128GB là chiếc điện thoại cao cấp có sự cân bằng hoàn hảo giữa hiệu năng và giá trị. Với chip A15 Bionic mạnh mẽ, máy đáp ứng mượt mà mọi nhu cầu từ chiến game đồ họa cao đến xử lý video 4K chuyên nghiệp. Sản phẩm cực kỳ phù hợp cho người dùng yêu thích thiết kế nhỏ gọn nhưng vẫn cần sự bền bỉ và ổn định lâu dài.
Máy sở hữu màn hình Super Retina XDR sắc nét, camera kép 12MP chụp đêm ấn tượng và thời lượng pin vượt trội so với thế hệ trước. Đây là lựa chọn tối ưu cho sinh viên, nhân viên văn phòng muốn trải nghiệm hệ sinh thái iOS ổn định với mức chi phí hợp lý nhất hiện nay."
7,,2,Điện thoại OPPO Reno15 Pro 5G 12GB/256GB,Oppo,17490,/backend/data/images/phone/phone_07.jpg,"OPPO Reno15 Pro 5G 12GB/256GB là ""chuyên gia chân dung"" với thiết kế mặt lưng đổi màu Glow thời thượng và siêu mỏng. Sản phẩm hướng tới giới trẻ yêu thích thời trang, các vlogger và người dùng cần một chiếc điện thoại chụp ảnh đẹp lung linh mà không cần chỉnh sửa phức tạp.
Máy sở hữu RAM 12GB đa nhiệm mượt mà, màn hình cong tràn cạnh 120Hz và sạc siêu nhanh SuperVOOC lấy lại năng lượng tức thì. Điểm nhấn là hệ thống camera tích hợp AI xử lý da tự nhiên, quay video làm đẹp thời gian thực và kết nối 5G siêu tốc, mang lại trải nghiệm giải trí và sáng tạo nội dung hoàn hảo mọi lúc."
8,,3,Điện thoại Xiaomi 17 Ultra 5G 16GB/512GB,Xiaomi,32190,/backend/data/images/phone/phone_08.jpg,"Xiaomi 17 Ultra 5G 16GB/512GB là đỉnh cao nhiếp ảnh di động với cụm camera ống kính Leica thế hệ mới và cảm biến 1 inch cực lớn. Sản phẩm dành riêng cho nhiếp ảnh gia chuyên nghiệp, vlogger và những người đam mê công nghệ muốn sở hữu cấu hình mạnh mẽ nhất thị trường hiện nay.
Máy sở hữu RAM 16GB khổng lồ, chip Snapdragon 8 Gen 5 xử lý AI siêu tốc và màn hình LTPO 2K sắc nét. Với khả năng quay video 8K, sạc nhanh 120W và kháng nước IP68, đây là thiết bị hoàn hảo cho mọi nhu cầu từ làm việc cường độ cao đến giải trí đỉnh cao không giới hạn."
9,,3,Samsung Galaxy S26 Ultra 5G 12GB/256GB,Samsung,32990,/backend/data/images/phone/phone_09.jpg,"Samsung Galaxy S26 Ultra 5G 12GB/256GB là biểu tượng công nghệ với khung viền Titan bền bỉ và bút S Pen quyền năng tích hợp sẵn. Sản phẩm dành cho doanh nhân, người làm việc sáng tạo và những ai cần một thiết bị thay thế máy tính nhỏ gọn cho các tác vụ đa nhiệm đỉnh cao.
Máy sở hữu hệ thống Galaxy AI thế hệ mới hỗ trợ dịch thuật trực tiếp, chỉnh sửa ảnh chuyên nghiệp và camera 200MP Zoom quang học siêu nét. Với màn hình Dynamic AMOLED 2X 120Hz chống chói và thời lượng pin vượt trội, đây là lựa chọn số một để xử lý công việc và giải trí không giới hạn ở bất cứ đâu."
10,,3,Điện thoại iPhone 17 Pro Max 256GB,Apple,37890,/backend/data/images/phone/phone_10.jpg,"iPhone 17 Pro Max là đỉnh cao công nghệ năm 2026 với khung viền Titan siêu nhẹ và chip A19 Pro mạnh mẽ nhất. Sản phẩm dành riêng cho người dùng chuyên nghiệp, Game thủ AAA và các nhà sáng tạo nội dung cần hiệu năng xử lý AI vượt trội. Đây là lựa chọn số một cho trải nghiệm hình ảnh đẳng cấp và đẳng cấp sang trọng.
Máy sở hữu màn hình ProMotion 120Hz siêu mượt, hệ thống camera Zoom quang học 10x và khả năng quay phim điện ảnh chuyên nghiệp. Với thời lượng pin kỷ lục và kết nối vệ tinh tiên tiến, đây là thiết bị hoàn hảo cho mọi nhu cầu làm việc, giải trí đỉnh cao và khẳng định vị thế người sở hữu."
